iter	Passed	Remaining
0	0	69
1	1	61
2	1	56
3	2	51
4	2	49
5	3	48
6	3	48
7	4	48
8	4	47
9	5	46
10	5	46
11	6	46
12	7	47
13	7	48
14	8	48
15	9	47
16	9	46
17	10	45
18	10	44
19	11	44
20	11	43
21	11	42
22	12	42
23	13	41
24	13	41
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	50	4
92	50	3
93	50	3
94	51	2
95	52	2
96	52	1
97	53	1
98	54	0
99	55	0
